1	12043
2	12502
3	12709
4	12620
5	13033
6	13032
7	13206
8	13082
9	12516
10	12578
11	12847
12	12673
13	12682
14	13102
15	12483
16	12492
17	12849
18	13045
19	13077
20	12081
21	12243
22	12236
23	12135
24	13447
25	13312
26	12556
27	14018
28	12474
29	12110
30	12241
31	12288
32	12612
33	12942
34	12866
35	12814
36	12625
37	12091
38	12868
39	12767
40	12358
41	12358
42	12256
43	12048
44	12322
45	12360
46	12719
47	12524
48	11483
49	11667
50	11259
51	12067
52	12661
53	12321
54	12746
55	12153
56	11584
57	11700
58	12983
59	13260
60	12573
61	12988
62	12992
63	12377
64	12196
65	11771
66	12430
67	12832
68	12174
69	12887
70	11636
71	12035
72	11788
73	12796
74	12865
75	12485
76	12488
77	12650
78	11908
79	13168
80	12057
81	12654
82	12293
83	13198
84	12761
85	12079
86	12080
87	13422
88	13245
89	13444
90	12645
91	13035
92	11655
93	12868
94	12765
95	12662
96	13017
97	13523
98	12464
99	13181
100	12424
101	12473
102	13020
103	12878
104	12378
105	11900
106	11736
107	11990
108	12805
109	13025
110	12121
111	12585
112	11535
113	12153
114	12558
115	12469
116	12816
117	13230
118	12599
119	11988
120	12620
121	12729
122	12509
123	13073
124	12871
125	12431
126	12156
127	12251
128	12865
129	13009
130	12611
131	12682
132	12466
133	11427
134	11727
135	12643
136	12523
137	12501
138	12142
139	11610
140	10894
141	11946
142	12736
143	12365
144	12055
145	12868
146	11913
147	11974
148	14621
149	14919
150	12415
151	12886
152	12354
153	12122
154	12386
155	12850
156	12755
157	12685
158	12141
159	11429
160	11577
161	12533
162	13028
163	12882
164	12736
165	12446
166	11899
167	12327
168	12541
169	12605
170	12662
171	12179
172	11881
173	11523
174	11357
175	12209
176	12390
177	12584
178	12055
179	12698
180	11861
181	11774
182	12360
183	12798
184	12713
185	12658
186	12334
187	11527
188	11904
189	12544
190	16941
191	16836
192	12500
193	12336
194	11757
195	12166
196	12083
197	11980
198	12375
199	11843
200	12041
201	12470
202	12934
203	12891
204	12248
205	12493
206	11897
207	11748
208	12978
209	12223
210	12522
211	12625
212	12868
213	12340
214	11949
215	11829
216	12014
217	12634
218	12308
219	12004
220	11823
221	11786
222	12575
223	11599
224	13349
225	13209
226	11687
227	12471
228	12710
229	12098
230	12470
231	11761
232	11042
233	12564
234	12891
235	12419
236	11804
237	11094
238	11813
239	12290
240	12016
241	12795
242	12035
243	11228
244	12304
245	12856
246	12187
247	12091
248	12633
249	11961
250	11237
251	11624
252	12545
253	12440
254	12127
255	12219
256	12410
257	11371
258	10942
259	12350
260	12003
261	13395
262	11835
263	11706
264	11538
265	11954
266	11835
267	12402
268	12306
269	11824
270	11872
271	11471
272	11435
273	12235
274	12185
275	13541
276	12213
277	11085
278	10381
279	11374
280	12218
281	12443
282	12322
283	11936
284	12266
285	11265
286	11660
287	12477
288	12467
